//word	wrong	right
excelsior	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
excerpt	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
excess	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
excise	(<i>noun.</i> EHK syz	&laquo;<i>noun.</i> EHK syz
amphitrichous	m FIHT ruh kuhs&#187;	&laquo;am FIHT ruh kuhs&raquo;
assuming	swa> SOO mihng&#187;	&laquo;uh SOO mihng&raquo;
beau ideal	OH y DEE uhl, y DEEL&#187;	&laquo;BOH y DEE uhl, y DEEL&raquo;
collectanea	<SMALL>OL</SMALL> ehk TAY nee uh	&laquo;<SMALL>KOL</SMALL> ehk TAY nee uh
combat	<i>(verb, noun.</i>	&laquo;<i>verb, noun.</i>
cypsela	IHP suh luh&#187;	&laquo;SIHP suh luh&#187;
dishware	IHSH <SMALL>WAIR</SMALL>&#187;	&laquo;DIHSH <SMALL>WAIR</SMALL>&#187;
extramusical	<SMALL>KS</SMALL> truh MYOO zuh kuhl	&laquo;<SMALL>EHKS</SMALL> truh MYOO zuh kuhl
fancied	AN seed&#187;	&laquo;FAN seed&#187;
fogyish	OH gee ihsh&#187;	&laquo;FOH gee ihsh&#187;
infirmity	n FUR muh tee&#187;	&laquo;ihn FUR muh tee&#187;
maun	on, mawn&#187;	&laquo;mon, mawn&#187;
paleozoologist	<SMALL>AY</SMALL> lee oh zoh OL uh jihst	&laquo;<SMALL>PAY</SMALL> lee oh zoh OL uh jihst
parhelic	ahr HEE lihk&#187;	&laquo;pahr HEE lihk&#187;
pederast	EHD uh rast	&laquo;PEHD uh rast
plaice	lays&#187;	&laquo;plays&#187;
prematurity	<SMALL>REE</SMALL> muh CHUR uh tee	&laquo;<SMALL>PREE</SMALL> muh CHUR uh tee
reflectometry	<SMALL>EE</SMALL> flehk TOM uh tree	&laquo;<SMALL>REE</SMALL> flehk TOM uh tree
repartition	<SMALL>EE</SMALL> pahr TIHSH uhn	&laquo;<SMALL>REE</SMALL> pahr TIHSH uhn
specter	PEHK tuhr	&laquo;SPEHK tuhr
anthocyanin	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
ascensor	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
badinage	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
conche	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
confrontational	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
de-aestheticization	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
deattribute	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
decolorization	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
downshifter	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
elution	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
figurant	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
gluepot	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
great-aunt	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
guessingly	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
hypesthesic	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
knelt	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
magnocellular system	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
mercer	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
mishit	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
old-growth forest	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
ozonometer	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
plowland	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
polyphemus	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
preproduction	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
proleg	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
shallot	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
tie-and-dye	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
tungusic	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
verbum sapienti sat est	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
zeugma	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)(?=[^&]+&#187;)	\1&laquo;
basso	$(</B>[\xFF\s]*)(?=[^&<>]+&#187;)	\1&laquo;
bourgeoise	$(</B>[\xFF\s]*)(?=[^&<>]+&#187;)	\1&laquo;
trousseau	$(</B>[\xFF\s]*)(?=[^&<>]+&#187;)	\1&laquo;
trou-de-loup	</B> (<SMALL>TROO</SMALL>	</B> &laquo;<SMALL>TROO</SMALL>
macronucleus	</B> <NOBR>-klee</NOBR> y&#187;	</B> &laquo;<NOBR>-klee</NOBR> y&#187;
morula	</i> (<B><NOBR>-lae</NOBR></B> <NOBR>-lee&#187;	</i> <B><NOBR>-lae</NOBR></B> &laquo;-lee&#187;
landtag	</B> <NOBR>-<SMALL>TAH</SMALL></NOBR> guh&#187;	</B> &laquo;<NOBR>-<SMALL>TAH</SMALL></NOBR> guh&#187;
seliha	</B> -khohth&#187;	</B> &laquo;-khohth&#187;
hochheimer	hohkh <SMALL>HY</SMALL> muhr&#187;	&laquo;hohkh <SMALL>HY</SMALL> muhr&#187;
fusobacterium	</B> <NOBR>-TIHR</NOBR> ee uh&#187;	</B> &laquo;<NOBR>-TIHR</NOBR> ee uh&#187;
enhancer	&#187;, <NOBR>-HAHN-&#187;	, <NOBR>-HAHN-&#187;
drachma	</B><NOBR>-mee&#187;	</B> &laquo;<NOBR>-mee&#187;
czapek's medium	CHAH pehks&#187;	&laquo;CHAH pehks&#187;
apres la guerre	&#171;la&#187; GEHR&#187;	la GEHR&#187;
aecium	</B> <NOBR>-shee</NOBR> uh	</B> &laquo;<NOBR>-shee</NOBR> uh
akroterion	</B> <NOBR>-TIHR</NOBR>	</B> &laquo;<NOBR>-TIHR</NOBR>
algonkian	kwee-&#187;&#187;	kwee-&#187;
ananym	[tydf>	[&lt;
joseph	[tydf>	[&lt;
primidone	[tydf>	[&lt;
anthophyllite	[&#060; Greek	(&lt; Greek
botanical	[&#060; Greek	(&lt; Greek
dreary	[Old English] <i>	[Old English <i>
holster	[&#060; Old Icelandic	(&lt; Old Icelandic
nimious	(with English <i><NOBR>-ous</NOBR></i>]	(with English <i><NOBR>-ous</NOBR></i>)
shed	Middle English <i>shadde</i>	[Middle English <i>shadde</i>
thuja	an African tree[	an African tree]
vinyl	]<i>v&#x012A;num</i> wine + English]	(<i>v&#x012A;num</i> wine + English)
aristotelic	>crfequ> Aristotelian	>= Aristotelian
basophile	>rfequ> basophil	>= basophil
mongol	>crfequ> Mongolian	>= Mongolian
oxalacetate	>rfequ> oxaloacetate	>= oxaloacetate
sea bear	>crfequ> polar bear	>= polar bear
shrubby althea	>crfequ> rose of Sharon	>= rose of Sharon
sinopia	>rfequ> sinopis	>= sinopis
tenderloin district	>crfequ> Tenderloin	>= Tenderloin
thickety	>rfequ> thicketed	>= thicketed
vakil	>crfequ> vakeel	>= vakeel
aristotelic	crfequ> Aristotelian	Aristotelian
basophile	rfequ> basophil	basophil
mongol	crfequ> Mongolian	Mongolian
oxalacetate	rfequ> oxaloacetate	oxaloacetate
sea bear	crfequ> polar bear	polar bear
shrubby althea	crfequ> rose of Sharon	rose of Sharon
sinopia	rfequ> sinopis	sinopis
tenderloin district	crfequ> Tenderloin	Tenderloin
thickety	rfequ> thicketed	thicketed
vakil	crfequ> vakeel	vakeel
afro	$(<li>.+?)defn>	\1</li><li>
anastomosis	$defn>(.+?)(<ol>)	\2<li>\1</li>
barony	$defn>(.+?)(<ol>)	\2<li>\1</li>
cecal	$(<li>.+?)defn>	\1</li><li>
charge	$(<li>.+?)defn>	\1</li><li>
christmas box	$defn>(.+?)(<ol>)	\2<li>\1</li>
ciborium	$defn>(.+?)(<ol>)	\2<li>\1</li>
delay	$(<li>.+?)defn>	\1</li><li>
dismal	$(<li>.+?)defn>	\1</li><li>
fencible	$(<li>.+?)defn>	\1</li><li>
fleet	$(<li>.+?)defn>	\1</li><li>
foramen ovale	$(<li>.+?)defn>	\1</li><li>
frailty	$(<li>.+?)defn>	\1</li><li>
gyral	$(<li>.+?)defn>	\1</li><li>
hakka	$defn>(.+?)(<ol>)	\2<li>\1</li>
humanitarianism	$(<li>.+?)defn>	\1</li><li>
interpunction	$(<li>.+?)defn>	\1</li><li>
lecture	$(<li>.+?)defn>	\1</li><li>
list	$(<li>.+?)defn>	\1</li><li>
owlet	$(<li>.+?)defn>	\1</li><li>
perspective	$(<li>.+?)defn>	\1</li><li>
prevenient	$(<li>.+?)defn>	\1</li><li>
right	$(<li>.+?)defn>	\1</li><li>
screw	$(<li>.+?)defn>	\1</li><li>
trash	$(<li>.+?)defn>	\1</li><li>
whereto	$(<li>.+?)defn>	\1</li><li>
whitebait	$(<li>.+?)defn>	\1</li><li>
barnacle	$(<li>.+?)efn>	\1</li><li>
breath	$(<li>.+?)efn>	\1</li><li>
carlism	$efn>(.+?)(<ol>)	\2<li>\1</li>
country rock	$(<li>.+?)efn>	\1</li><li>
forgo	$(<li>.+?)efn>	\1</li><li>
gable window	$(<li>.+?)efn>	\1</li><li>
gold	$(<li>.+?)efn>	\1</li><li>
hunt's-up	$efn>(.+?)(<ol>)	\2<li>\1</li>
husbandry	$efn>(.+?)(<ol>)	\2<li>\1</li>
individuation	$(<li>.+?)efn>	\1</li><li>
loose	$(<li>.+?)efn>	\1</li><li>
mh.	$(<li>.+?)efn>	\1</li><li>
peyotism	$(<li>.+?)efn>	\1</li><li>
phi phenomenon	$(<li>.+?)efn>	\1</li><li>
sap	$(<li>.+?)efn>	\1</li><li>
segmentation	$efn>(.+?)(<ol>)	\2<li>\1</li>
trig	$(<li>.+?)efn>	\1</li><li>
vermicule	$(<li>.+?)efn>	\1</li><li>
wax	$(<li>.+?)efn>	\1</li><li>
wormy	$(<li>.+?)efn>	\1</li><li>
alemanni	efu>	<BR>
barrow	defu>	<BR>
bibliophilistic	efu>	<BR>
braggartism	efu>	<BR>
buttonhook	efu>	<BR>
cabbage moth	efu>	<BR>
carrot	efu>	<BR>
core-drill	efu>	<BR>
cosher	efu>	<BR>
dehydrofreezing	efu>	<BR>
diastema	efu>	<BR>
drysaltery	efu>	<BR>
epitomise	efu>	<BR>
faith healer	efu>	<BR>
fragmentist	efu>	<BR>
geophysics	efu>	<BR>
h.c.l.	efu>	<BR>
hemimetabolism	efu>	<BR>
instrumentarium	efu>	<BR>
integrable	efu>	<BR>
isoprenaline	efu>	<BR>
laterite	efu>	<BR>
nitrocellulose	efu>	<BR>
oligarch	efu>	<BR>
oxide	efu>	<BR>
paratrooper	efu>	<BR>
pentastyle	defu>	<BR>
puritanism	efu>	<BR>
quick march	efu>	<BR>
roughish	efu>	<BR>
schoolmistress	efu>	<BR>
scutiform	efu>	<BR>
secy.	efu>	<BR>
semitransparent	efu>	<BR>
taskmistress	efu>	<BR>
taxonomic	efu>	<BR>
thole	efu>	<BR>
tissue paper	efu>	<BR>
tractarian	defu>	<BR>
vasomotor	efu>	<BR>
chicken	</i>B>	</i>]
enplane	B><i>	[<i>
antimonyl	</i>z38>	</i>
torpedo	$ety>(.+?)(<p><a name="ety_[^<>"]+"></a>)	\2\1
angiocarpous	tyand>	+
hyponasty	etyand>	 +
valetudinarian	etyand>	+
cardinal	<i>He</i>]	[<i>He</i>]
chauvinistic	[<i>New Yorkers are nearly as chauvinistic as Texans</i>	[<i>New Yorkers</i>] <i>are nearly as chauvinistic as Texans</i>
ectopic	(tydf>	(&lt; 
morpheme	</i> tydf>	</i> &lt;
motif	tydf>	&lt;
ocellated	(tydf>	(&lt; 
propose	(tydf>	(&lt; 
terrain	tydf>	&lt; 
akinesia	motioz38>	n
adrip	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
analysis	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
dustup	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
feeler	</i>B>	</i>]
gasohol	(Tom Ferrel)	(Tom Ferrel
housekeeper	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
identity crisis	LB><i>	 [<i>
impacted	</i> ime)	</i> (Time)
indolence	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
judaism	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
kersey	(Tristram Risdon)]	(Tristram Risdon).
moderation	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
nice	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
platitudinous	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
portfolio	(Samuel Butle.	(Samuel Butle).
rendezvous	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
proverb	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
ruction	(Rudyard Kipling.	(Rudyard Kipling).
sabermetrics	(R.E. Allen).]	(R.E. Allen).
seventy	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
squirearchical	(Grant Allen	(Grant Allen).
shatter	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
thetic	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
unrelaxing	$(?<=</i>)\s*\.?\s*([^\(<>]+?\))\.?	 (\1.
bent	<i>to the top of one&#146;s bent</i>).</FONT> 	<em>to the top of one&#146;s bent</em></FONT>).
b.mus.	<i>Baccalaureus Musicae).</i></FONT>	<em>Baccalaureus Musicae</em></FONT>).
cs.	<i>Custos Sigilli</i>).</FONT>	<em>Custos Sigilli</em></FONT>).
ought	</i></FONT> which is substandard).	</i> which is substandard).</FONT>
past tense	yesterday</i>)	yesterday</i></FONT>)
past tense	<i>He was running a mile when he fell</i>).</FONT>	<FONT COLOR="#404040"><i>He was running a mile when he fell</i></FONT>).
tide	<i>Christmastide, springtide</i>).</FONT>	<i>Christmastide, springtide</i></FONT>).
tlp	</i> (New Scientist).	</i>) (New Scientist).
assist	<FONT COLOR="#404040"></i></FONT>	<FONT COLOR="#404040"><i>She assisted her mother with the housework.</i></FONT>
crosscut	<FONT COLOR="#404040"></i></FONT>	<FONT COLOR="#404040"><i>Crosscut the field to take a short cut.</i></FONT>
custody	<FONT COLOR="#404040"></i></FONT>	<FONT COLOR="#404040"><i>He maintained that his custody had been unduly prolonged.</i></FONT>
high-definition	<FONT COLOR="#404040"> </i> </FONT>	 
love	attachment: <FONT COLOR="#404040"></i></FONT>	attachment: <FONT COLOR="#404040"><i>He had a deep love for his parents.</i></FONT>
love	<FONT COLOR="#404040"></i></i></FONT>	 
wiki	<FONT COLOR="#404040"></i></FONT>	 
bollywood	$(<p>.+?)<i><b>(adjective\.)</b></i>[\xFF\s]*<BR>(.+?)(?=</p>)	<i>\2</i> \3\1
encephalomyocarditis	$(<p>.+?)(<i>Abbr:</i>.+?)(?=</p>)	<BR>\2\1
panic	(Newsweek).</i></FONT>	(Newsweek).</FONT>
euro	<p><a name="ety_142074"></a>(replace with etymology)</p>	 
lunarnaut	$(<p>.+?)(Also,.+?)(?=</p>)	<BR>\2\1
matthew	&#x00E5;h]</i>	&#x00E5;h</i>]
mulberry	rberige]</i>	rberige</i>]
peak	var. of <i>pick</i><SUP>2</SUP>	[var. of <i>pick</i><SUP>2</SUP>]
poet	.]</a>	.</a>]
raguly	$(?<=\])\s*<a\b.+?(?=</p>)	 
red card	$<p><a name="ety_142320"></a>(Compare.+?)</p>	 \1
redout	blackout]</i>	blackout</i>]
shechita	$(<p>.+?)(Also,.+?)(?=</p>)	 \2\1
sheikh	$(<p>.+?)(Also,.+?)(?=</p>)	<BR>\2\1
triakaidekaphobia	$(<p>.+?)(Also,.+?)(?=</p>)	 \2\1
trigonous	<i>g&#x014D;ac>	<i>g&#x014D;n
art	efa>	<FONT COLOR="#404040"><B>a</B></FONT> 
art	<FONT COLOR="#404040"><B>a</B></FONT> a branch of	<FONT COLOR="#404040"><B>b</B></FONT> a branch of
art	<FONT COLOR="#404040"><B>b</B></FONT> Usually	<FONT COLOR="#404040"><B>c</B></FONT> Usually
couth	$defa>([\xFF\s]*)(?=<BR>)	<BR>\1<NOBR><I><B>&#150;<i><b>v</b></i>.</B></I></NOBR>
decamerous	o>	 
diluvium	<i>da>i	<i>d&#x012B;
feud	o>	 
involution	efa>	<FONT COLOR="#404040"><B>a</B></FONT> 
involution	<FONT COLOR="#404040"><B>a</B></FONT> a part	<FONT COLOR="#404040"><B>b</B></FONT> a part
luster	defa>	<FONT COLOR="#404040"><B>a</B></FONT>
luster	<FONT COLOR="#404040"><B>a</B></FONT> one	<FONT COLOR="#404040"><B>b</B></FONT> one
okazaki fragment	f>segment	<span class="wb-dict-headword"><B>segment</B></span>
scamper	o>	 
squad	ultimatelydf>	ultimately &lt; 
epigram	epigrc>aphein	epigraphein
hour	ha>ora	h&#x014D;ra
impend	impenma>ere	impend&#x0113;re
indonesian	[&#060; >	[&lt; 
ingredient	ingredia>ens	ingredi&#x0113;ns
non	nosml>de	non&acute;de
non	nosml>pro	non&acute;pro
non	asmh>u	agu
northern	o>	.
pepsin	ac>eptein	p&#x00E9;ptein
pyrrhotite	pyrrhc>os	pyrrhot&#x0113;s
refection	refectma>o	refecti&#x014D;
rufous	ra>ufus	r&#x016B;fus
pre-	phesmh>ic	phetic
neuter	$<i>\s*Bota\b	<i>Botany
rectangle	$\bLatn\b	Latin
exilement	$\bObsete\b	Obsolete
analyze	$\bChestry\b	Chemistry
quail	$\bArcha\b	Archaic
azeotrope	$<i>\s*Chemist\b	<i>Chemistry
bee block	$\bNaucal\b	Nautical
cistern	$\bAnaty\b	Anatomy
digestion	$\bFigutive\b	Figurative
foreflank	$\bDiect\b	Dialect
ghaist	$\bSctish\b	Scottish
holeable	$<i>\s*Gol\b	<i>Golf
hysterical	$\bFigative\b	Figurative
intersexual	$\bBiolog\b	Biology
kinky boot	$\bBritih\b	British
lightweight	$\bInrmal\b	Informal
